         29521378 function calls (26349847 primitive calls) in 7.718 seconds

   Ordered by: cumulative time
   List reduced from 1156 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2144    0.002    0.000    0.189    0.000 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/source_observation_schema.py:128(strict_json)
     2337    0.003    0.000    0.183    0.000 /Users/wanggaoying/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/json/decoder.py:333(decode)
     2337    0.089    0.000    0.177    0.000 /Users/wanggaoying/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/json/decoder.py:344(raw_decode)
   551079    0.156    0.000    0.156    0.000 {method 'hex' of 'float' objects}
    40612    0.015    0.000    0.155    0.000 {built-in method builtins.any}


         29521378 function calls (26349847 primitive calls) in 7.718 seconds

   Ordered by: internal time
   List reduced from 1156 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
1193251/16936    1.027    0.000    1.690    0.000 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/exact_record.py:96(pack)
  8555990    0.767    0.000    1.162    0.000 {built-in method builtins.isinstance}
834692/454550    0.570    0.000    1.648    0.000 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/source_observation_schema.py:140(matches)
559062/4977    0.549    0.000    3.030    0.001 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/source_observation_record.py:85(_project)
    38726    0.362    0.000    2.377    0.000 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/source_observation_schema.py:171(validate_fields)
   968719    0.290    0.000    0.498    0.000 /Users/wanggaoying/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/typing.py:2374(get_args)
   972247    0.281    0.000    0.494    0.000 /Users/wanggaoying/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/typing.py:2344(get_origin)
 92295/63    0.230    0.000    5.043    0.080 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/source_observation_record.py:112(_restore)
     4428    0.215    0.000    0.215    0.000 /Users/wanggaoying/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/json/encoder.py:205(iterencode)
321538/271418    0.191    0.000    1.481    0.000 {built-in method builtins.all}
221846/188    0.174    0.000    0.321    0.002 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/deforming_solid_storage.py:51(_canonical)
  1125297    0.163    0.000    0.395    0.000 <frozen abc>:117(__instancecheck__)
   551079    0.156    0.000    0.156    0.000 {method 'hex' of 'float' objects}
   113624    0.151    0.000    0.259    0.000 /Users/wanggaoying/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/dataclasses.py:1278(fields)
  1539320    0.150    0.000    0.150    0.000 {built-in method builtins.getattr}
  1125297    0.149    0.000    0.232    0.000 {built-in method _abc._abc_instancecheck}
171107/5846    0.112    0.000    0.396    0.000 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/source_net_prefix.py:20(_same)
   972783    0.109    0.000    0.109    0.000 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/exact_record.py:111(<genexpr>)
103213/7516    0.102    0.000    0.144    0.000 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/exact_record.py:140(unpack)
  1638161    0.097    0.000    0.097    0.000 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/source_observation_schema.py:105(require)
     2337    0.089    0.000    0.177    0.000 /Users/wanggaoying/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/json/decoder.py:344(raw_decode)
  1177481    0.082    0.000    0.082    0.000 /Users/wanggaoying/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/dataclasses.py:1293(<genexpr>)
       63    0.073    0.001    0.142    0.002 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/source_observation_record.py:66(_budget)
      320    0.064    0.000    0.150    0.000 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/source_study_audit.py:20(_same)
   108402    0.062    0.000    0.088    0.000 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/source_observation_schema.py:129(unique)
   228715    0.060    0.000    0.092    0.000 /Users/wanggaoying/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/dataclasses.py:1301(is_dataclass)
   859508    0.058    0.000    0.058    0.000 {built-in method math.isfinite}
    833/3    0.048    0.000    0.118    0.039 {built-in method builtins.exec}
      338    0.046    0.000    0.046    0.000 {method 'read' of '_io.BufferedReader' objects}
   200032    0.045    0.000    0.366    0.000 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/source_observation_schema.py:159(<genexpr>)


