         3695265 function calls (3538218 primitive calls) in 6.355 seconds

   Ordered by: cumulative time
   List reduced from 496 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2353    0.003    0.000    0.163    0.000 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/water_implementation.py:33(sha256)
        8    0.000    0.000    0.161    0.020 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/source_wet_column.py:157(_check)
        8    0.000    0.000    0.161    0.020 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/source_wet_column.py:100(binding)
     7731    0.160    0.000    0.160    0.000 /Users/wanggaoying/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/json/encoder.py:205(iterencode)
     5724    0.005    0.000    0.155    0.000 /Users/wanggaoying/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/pathlib.py:1015(read_bytes)
     2353    0.007    0.000    0.151    0.000 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/water_implementation.py:27(canonical_json)
     5724    0.002    0.000    0.121    0.000 /Users/wanggaoying/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/pathlib.py:1005(open)
     5726    0.115    0.000    0.120    0.000 {built-in method _io.open}
       75    0.000    0.000    0.119    0.002 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/source_mass_caloric.py:129(specific_internal_energy)
     4344    0.008    0.000    0.111    0.000 <frozen _collections_abc>:1032(__contains__)
    40488    0.017    0.000    0.108    0.000 /Users/wanggaoying/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/pathlib.py:437(__str__)
       75    0.000    0.000    0.106    0.001 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/source_mass_caloric.py:134(minimum_specific_heat_capacity)
       40    0.000    0.000    0.101    0.003 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/water_heos.py:89(state_tp_response)
        5    0.000    0.000    0.101    0.020 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/exact_source_column.py:59(operator_identity)
        5    0.000    0.000    0.101    0.020 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/exact_source_column.py:54(_binding)
        5    0.000    0.000    0.101    0.020 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/source_wet_column.py:160(model_identity)
        1    0.000    0.000    0.086    0.086 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/exact_source_column.py:83(unpack)
    14424    0.004    0.000    0.084    0.000 /Users/wanggaoying/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/pathlib.py:447(__fspath__)
    17676    0.008    0.000    0.082    0.000 /Users/wanggaoying/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/pathlib.py:551(drive)
    21720    0.006    0.000    0.082    0.000 <frozen _collections_abc>:1022(__iter__)


         3695265 function calls (3538218 primitive calls) in 6.355 seconds

   Ordered by: internal time
   List reduced from 496 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4090    4.374    0.001    4.613    0.001 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/_heos_kernel.py:125(_transaction)
    13455    0.209    0.000    0.209    0.000 {built-in method _hashlib.openssl_sha256}
    12529    0.168    0.000    0.168    0.000 /Users/wanggaoying/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/json/decoder.py:344(raw_decode)
     7731    0.160    0.000    0.160    0.000 /Users/wanggaoying/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/json/encoder.py:205(iterencode)
     5726    0.115    0.000    0.120    0.000 {built-in method _io.open}
108126/1286    0.079    0.000    0.164    0.000 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/deforming_solid_storage.py:51(_canonical)
    43440    0.079    0.000    0.079    0.000 {built-in method posix.lstat}
     6135    0.067    0.000    0.164    0.000 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/_heos_kernel.py:148(_snapshot)
   393527    0.042    0.000    0.077    0.000 {built-in method builtins.isinstance}
    47788    0.037    0.000    0.063    0.000 <frozen posixpath>:71(join)
     4344    0.035    0.000    0.184    0.000 <frozen posixpath>:429(_joinrealpath)
     2045    0.034    0.000    4.894    0.002 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/_heos_kernel.py:284(state_tp)
    13330    0.030    0.000    0.056    0.000 /Users/wanggaoying/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/pathlib.py:387(_parse_path)
     2045    0.028    0.000    0.170    0.000 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/_heos_kernel.py:193(_saturation_pair_locked)
29143/29106    0.024    0.000    0.065    0.000 {built-in method builtins.all}
     2353    0.023    0.000    0.281    0.000 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/water_heos.py:72(_guard)
     5724    0.022    0.000    0.022    0.000 {method 'read' of '_io.BufferedReader' objects}
     6135    0.021    0.000    0.021    0.000 {built-in method builtins.repr}
    23346    0.020    0.000    0.039    0.000 /Users/wanggaoying/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/fractions.py:186(__new__)
