         463452 function calls (452470 primitive calls) in 0.325 seconds

   Ordered by: cumulative time
   List reduced from 212 to 18 due to restriction <18>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.002    0.000    0.293    0.049 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/rigid_reactive_open_column.py:95(observe)
      768    0.001    0.000    0.261    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/rigid_reactive_offset.py:45(offset_inventory_state)
 2097/847    0.002    0.000    0.247    0.000 /Users/wanggaoying/Desktop/brickmodel-github/.venv/lib/python3.12/site-packages/scipy/optimize/_zeros_py.py:724(brentq)
 2097/847    0.006    0.000    0.246    0.000 {built-in method scipy.optimize._zeros._brentq}
14529/6047    0.022    0.000    0.243    0.000 /Users/wanggaoying/Desktop/brickmodel-github/.venv/lib/python3.12/site-packages/scipy/optimize/_zeros_py.py:106(f_raise)
     6330    0.023    0.000    0.240    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/rigid_reactive_offset.py:14(at_carbon_offset)
     5562    0.005    0.000    0.229    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/rigid_reactive_offset.py:47(<lambda>)
     6330    0.056    0.000    0.082    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/equilibrium_calcite_rigid.py:58(inventory_partition)
     3520    0.020    0.000    0.072    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/recorded_reaction_affinity.py:42(standard)
    16143    0.037    0.000    0.047    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/recorded_reaction_affinity.py:20(standard)
    21094    0.023    0.000    0.033    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/rigid_reactive_offset.py:22(score)
    50584    0.013    0.000    0.032    0.000 {built-in method math.fsum}
      768    0.020    0.000    0.029    0.000 /Users/wanggaoying/Desktop/brickmodel-github/examples/sandbox/calcite_rigid_source_review.py:6(source_cell_errors)
     8967    0.011    0.000    0.026    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/rigid_reactive_offset.py:35(<lambda>)
        6    0.000    0.000    0.019    0.003 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/rigid_reactive_surface.py:63(solve)
    56320    0.018    0.000    0.018    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/recorded_reaction_affinity.py:44(<genexpr>)
        6    0.000    0.000    0.018    0.003 /Users/wanggaoying/Desktop/brickmodel-github/.venv/lib/python3.12/site-packages/scipy/_lib/_util.py:650(inner)
        6    0.000    0.000    0.017    0.003 /Users/wanggaoying/Desktop/brickmodel-github/.venv/lib/python3.12/site-packages/scipy/optimize/_lsq/least_squares.py:266(least_squares)
