         449403 function calls (438421 primitive calls) in 0.336 seconds

   Ordered by: cumulative time
   List reduced from 212 to 18 due to restriction <18>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.014    0.002    0.314    0.052 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/rigid_reactive_open_column.py:95(observe)
      768    0.002    0.000    0.257    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/rigid_reactive_offset.py:45(offset_inventory_state)
 2097/847    0.005    0.000    0.243    0.000 /Users/wanggaoying/Desktop/brickmodel-github/.venv/lib/python3.12/site-packages/scipy/optimize/_zeros_py.py:724(brentq)
 2097/847    0.006    0.000    0.239    0.000 {built-in method scipy.optimize._zeros._brentq}
14529/6047    0.023    0.000    0.237    0.000 /Users/wanggaoying/Desktop/brickmodel-github/.venv/lib/python3.12/site-packages/scipy/optimize/_zeros_py.py:106(f_raise)
     6330    0.031    0.000    0.236    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/rigid_reactive_offset.py:14(at_carbon_offset)
     5562    0.005    0.000    0.222    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/rigid_reactive_offset.py:47(<lambda>)
     3520    0.030    0.000    0.081    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/recorded_reaction_affinity.py:42(standard)
     6330    0.046    0.000    0.067    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/equilibrium_calcite_rigid.py:58(inventory_partition)
    14136    0.028    0.000    0.039    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/recorded_reaction_affinity.py:20(standard)
    50584    0.020    0.000    0.033    0.000 {built-in method math.fsum}
    21094    0.017    0.000    0.029    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/rigid_reactive_offset.py:22(score)
        6    0.000    0.000    0.026    0.004 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/rigid_reactive_surface.py:63(solve)
        6    0.000    0.000    0.023    0.004 /Users/wanggaoying/Desktop/brickmodel-github/.venv/lib/python3.12/site-packages/scipy/_lib/_util.py:650(inner)
        6    0.000    0.000    0.023    0.004 /Users/wanggaoying/Desktop/brickmodel-github/.venv/lib/python3.12/site-packages/scipy/optimize/_lsq/least_squares.py:266(least_squares)
      876    0.003    0.000    0.019    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/rigid_reactive_source_force.py:26(source_integral_rigid_face)
        6    0.000    0.000    0.019    0.003 /Users/wanggaoying/Desktop/brickmodel-github/.venv/lib/python3.12/site-packages/scipy/optimize/_lsq/trf.py:113(trf)
        6    0.001    0.000    0.019    0.003 /Users/wanggaoying/Desktop/brickmodel-github/.venv/lib/python3.12/site-packages/scipy/optimize/_lsq/trf.py:206(trf_bounds)
