figure,group_id,n_water,n_shrinkage,water_specimens,shrinkage_specimens,x_value,y_value,y_unit,evidence_status,expression
observation_comparison.svg,R|P2-ED|1020,3,,"[""R|P2-ED|1020|A"", ""R|P2-ED|1020|B"", ""R|P2-ED|1020|C""]",[],1020,12.849265812050223,mass %,model_derived,mean of within-series source-derived disc values; absorption kg/kg * 100
observation_comparison.svg,R|P2-ED|1030,3,,"[""R|P2-ED|1030|A"", ""R|P2-ED|1030|B"", ""R|P2-ED|1030|C""]",[],1030,10.659740726086861,mass %,model_derived,mean of within-series source-derived disc values; absorption kg/kg * 100
observation_comparison.svg,R|P2-ED|1050,3,,"[""R|P2-ED|1050|A"", ""R|P2-ED|1050|B"", ""R|P2-ED|1050|C""]",[],1050,7.093634488787943,mass %,model_derived,mean of within-series source-derived disc values; absorption kg/kg * 100
observation_comparison.svg,R|P2-Raw|1020,3,,"[""R|P2-Raw|1020|A"", ""R|P2-Raw|1020|B"", ""R|P2-Raw|1020|C""]",[],1020,12.982896146718431,mass %,model_derived,mean of within-series source-derived disc values; absorption kg/kg * 100
observation_comparison.svg,R|P2-Raw|1030,3,,"[""R|P2-Raw|1030|A"", ""R|P2-Raw|1030|B"", ""R|P2-Raw|1030|C""]",[],1030,10.220571921138658,mass %,model_derived,mean of within-series source-derived disc values; absorption kg/kg * 100
observation_comparison.svg,R|P2-Raw|1050,3,,"[""R|P2-Raw|1050|A"", ""R|P2-Raw|1050|B"", ""R|P2-Raw|1050|C""]",[],1050,6.25301169885539,mass %,model_derived,mean of within-series source-derived disc values; absorption kg/kg * 100
observation_comparison.svg,R|Ref|1020,3,,"[""R|Ref|1020|A"", ""R|Ref|1020|B"", ""R|Ref|1020|C""]",[],1020,15.04715765375356,mass %,model_derived,mean of within-series source-derived disc values; absorption kg/kg * 100
observation_comparison.svg,R|Ref|1030,3,,"[""R|Ref|1030|A"", ""R|Ref|1030|B"", ""R|Ref|1030|C""]",[],1030,14.981435444817507,mass %,model_derived,mean of within-series source-derived disc values; absorption kg/kg * 100
observation_comparison.svg,R|Ref|1050,3,,"[""R|Ref|1050|A"", ""R|Ref|1050|B"", ""R|Ref|1050|C""]",[],1050,13.769222424186168,mass %,model_derived,mean of within-series source-derived disc values; absorption kg/kg * 100
treatment_tradeoff.svg,Y|P1-ED|1020,3,7,"[""Y|P1-ED|1020|A"", ""Y|P1-ED|1020|B"", ""Y|P1-ED|1020|C""]","[""Y|P1-ED|1020|A"", ""Y|P1-ED|1020|B"", ""Y|P1-ED|1020|C"", ""Y|P1-ED|1020|D"", ""Y|P1-ED|1020|E"", ""Y|P1-ED|1020|F"", ""Y|P1-ED|1020|G""]",2.040021949143313,21.423713946964618,mass %,model_derived,mean of within-series source-derived disc values; absorption kg/kg * 100
treatment_tradeoff.svg,Y|P1-ED|1030,3,7,"[""Y|P1-ED|1030|A"", ""Y|P1-ED|1030|B"", ""Y|P1-ED|1030|C""]","[""Y|P1-ED|1030|A"", ""Y|P1-ED|1030|B"", ""Y|P1-ED|1030|C"", ""Y|P1-ED|1030|D"", ""Y|P1-ED|1030|E"", ""Y|P1-ED|1030|F"", ""Y|P1-ED|1030|G""]",2.7138628731802044,20.087628040311493,mass %,model_derived,mean of within-series source-derived disc values; absorption kg/kg * 100
treatment_tradeoff.svg,Y|P1-ED|1050,3,7,"[""Y|P1-ED|1050|A"", ""Y|P1-ED|1050|B"", ""Y|P1-ED|1050|C""]","[""Y|P1-ED|1050|A"", ""Y|P1-ED|1050|B"", ""Y|P1-ED|1050|C"", ""Y|P1-ED|1050|D"", ""Y|P1-ED|1050|E"", ""Y|P1-ED|1050|F"", ""Y|P1-ED|1050|G""]",5.763484132904012,13.952892215127042,mass %,model_derived,mean of within-series source-derived disc values; absorption kg/kg * 100
