source_id,material_id,material_class,original_label,property,value,unit,basis,file,sheet,cell,identity_status
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_dtg,-0.01317524,mg/min,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,E874,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_temperature,876.926,degC,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,A875,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_time,94.28619,min,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,B875,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_mass_change,-0.18601,mg,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,C875,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_dtg,-0.01251529,mg/min,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,E875,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_temperature,877.926,degC,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,A876,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_time,94.38617,min,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,B876,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_mass_change,-0.18741,mg,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,C876,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_dtg,-0.01258826,mg/min,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,E876,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_temperature,878.926,degC,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,A877,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_time,94.48619,min,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,B877,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_mass_change,-0.1881,mg,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,C877,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_dtg,-0.01447063,mg/min,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,E877,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_temperature,879.926,degC,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,A878,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_time,94.58626,min,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,B878,resolved
