matrix_id,additive_id,additive_fraction_dry,firing_temperature_C,group_id,evidence_status,n_shrinkage,n_water,n_volume,n_independent_batches,diameter_shrinkage_mean,diameter_shrinkage_sd,volume_shrinkage_mean,volume_shrinkage_sd,water_absorption_mean,water_absorption_sd,open_porosity_mean,open_porosity_sd,dry_density_mean,dry_density_sd,shrinkage_specimens,water_specimens,volume_specimens
Y,SSA-P1-ED,0.3,1050,Y|P1-ED|1050,model_derived,7,3,7,,5.763484132904012,0.6389754298242084,16.679336214075562,1.5043946238648565,0.1395289221512704,0.00398767871099138,0.2782494687703651,0.005587701760700477,1990.94465574295,17.334230758749424,"[""Y|P1-ED|1050|A"", ""Y|P1-ED|1050|B"", ""Y|P1-ED|1050|C"", ""Y|P1-ED|1050|D"", ""Y|P1-ED|1050|E"", ""Y|P1-ED|1050|F"", ""Y|P1-ED|1050|G""]","[""Y|P1-ED|1050|A"", ""Y|P1-ED|1050|B"", ""Y|P1-ED|1050|C""]","[""Y|P1-ED|1050|A"", ""Y|P1-ED|1050|B"", ""Y|P1-ED|1050|C"", ""Y|P1-ED|1050|D"", ""Y|P1-ED|1050|E"", ""Y|P1-ED|1050|F"", ""Y|P1-ED|1050|G""]"
Y,SSA-P1-Raw,0.3,1020,Y|P1-Raw|1020,model_derived,7,3,7,,1.1416457273901022,0.23898954449813817,3.1349909896915245,0.9508258777763398,0.21254397085854093,0.0006535045769859238,0.3704690964821319,0.0008868101962690221,1739.888302703353,1.195649407575362,"[""Y|P1-Raw|1020|A"", ""Y|P1-Raw|1020|B"", ""Y|P1-Raw|1020|C"", ""Y|P1-Raw|1020|D"", ""Y|P1-Raw|1020|E"", ""Y|P1-Raw|1020|F"", ""Y|P1-Raw|1020|G""]","[""Y|P1-Raw|1020|A"", ""Y|P1-Raw|1020|B"", ""Y|P1-Raw|1020|C""]","[""Y|P1-Raw|1020|A"", ""Y|P1-Raw|1020|B"", ""Y|P1-Raw|1020|C"", ""Y|P1-Raw|1020|D"", ""Y|P1-Raw|1020|E"", ""Y|P1-Raw|1020|F"", ""Y|P1-Raw|1020|G""]"
Y,SSA-P1-Raw,0.3,1030,Y|P1-Raw|1030,model_derived,7,3,7,,1.7253126989856187,0.35309833697507875,4.204282704689756,1.8727346346720233,0.21103034112309638,0.003700045264246908,0.36848285617985604,0.0042387391783649,1743.0948771980059,10.761247519596504,"[""Y|P1-Raw|1030|A"", ""Y|P1-Raw|1030|B"", ""Y|P1-Raw|1030|C"", ""Y|P1-Raw|1030|D"", ""Y|P1-Raw|1030|E"", ""Y|P1-Raw|1030|F"", ""Y|P1-Raw|1030|G""]","[""Y|P1-Raw|1030|A"", ""Y|P1-Raw|1030|B"", ""Y|P1-Raw|1030|C""]","[""Y|P1-Raw|1030|A"", ""Y|P1-Raw|1030|B"", ""Y|P1-Raw|1030|C"", ""Y|P1-Raw|1030|D"", ""Y|P1-Raw|1030|E"", ""Y|P1-Raw|1030|F"", ""Y|P1-Raw|1030|G""]"
Y,SSA-P1-Raw,0.3,1050,Y|P1-Raw|1050,model_derived,7,3,7,,3.788521184117713,0.47800300056549677,11.183857403468558,1.0410782730154975,0.16237049414080273,0.004175575427406329,0.30882815743187325,0.005799510669537723,1898.7992714752402,13.193829880191773,"[""Y|P1-Raw|1050|A"", ""Y|P1-Raw|1050|B"", ""Y|P1-Raw|1050|C"", ""Y|P1-Raw|1050|D"", ""Y|P1-Raw|1050|E"", ""Y|P1-Raw|1050|F"", ""Y|P1-Raw|1050|G""]","[""Y|P1-Raw|1050|A"", ""Y|P1-Raw|1050|B"", ""Y|P1-Raw|1050|C""]","[""Y|P1-Raw|1050|A"", ""Y|P1-Raw|1050|B"", ""Y|P1-Raw|1050|C"", ""Y|P1-Raw|1050|D"", ""Y|P1-Raw|1050|E"", ""Y|P1-Raw|1050|F"", ""Y|P1-Raw|1050|G""]"
Y,SSA-P2-ED,0.3,1020,Y|P2-ED|1020,model_derived,7,3,7,,3.071793559619737,0.35995431577618003,9.198438605737838,1.1136477763268064,0.19671730502896936,0.003918295170525336,0.35456325529647276,0.004715920006614837,1799.3142495041861,12.062885253189208,"[""Y|P2-ED|1020|A"", ""Y|P2-ED|1020|B"", ""Y|P2-ED|1020|C"", ""Y|P2-ED|1020|D"", ""Y|P2-ED|1020|E"", ""Y|P2-ED|1020|F"", ""Y|P2-ED|1020|G""]","[""Y|P2-ED|1020|A"", ""Y|P2-ED|1020|B"", ""Y|P2-ED|1020|C""]","[""Y|P2-ED|1020|A"", ""Y|P2-ED|1020|B"", ""Y|P2-ED|1020|C"", ""Y|P2-ED|1020|D"", ""Y|P2-ED|1020|E"", ""Y|P2-ED|1020|F"", ""Y|P2-ED|1020|G""]"
Y,SSA-P2-ED,0.3,1030,Y|P2-ED|1030,model_derived,7,3,7,,4.373819424235268,0.29410588659496073,12.60623873408496,0.9630333986918383,0.17489923891188722,0.003943090306768174,0.32834869667414407,0.005157102106750342,1874.175197888711,13.060038196353968,"[""Y|P2-ED|1030|A"", ""Y|P2-ED|1030|B"", ""Y|P2-ED|1030|C"", ""Y|P2-ED|1030|D"", ""Y|P2-ED|1030|E"", ""Y|P2-ED|1030|F"", ""Y|P2-ED|1030|G""]","[""Y|P2-ED|1030|A"", ""Y|P2-ED|1030|B"", ""Y|P2-ED|1030|C""]","[""Y|P2-ED|1030|A"", ""Y|P2-ED|1030|B"", ""Y|P2-ED|1030|C"", ""Y|P2-ED|1030|D"", ""Y|P2-ED|1030|E"", ""Y|P2-ED|1030|F"", ""Y|P2-ED|1030|G""]"
Y,SSA-P2-ED,0.3,1050,Y|P2-ED|1050,model_derived,7,3,7,,8.086234736754673,0.605552010781523,22.45865785994691,1.150684070419253,0.11178914699226741,0.003208369707345639,0.23565572467712634,0.00553175462610976,2104.4538687675267,11.08987986929975,"[""Y|P2-ED|1050|A"", ""Y|P2-ED|1050|B"", ""Y|P2-ED|1050|C"", ""Y|P2-ED|1050|D"", ""Y|P2-ED|1050|E"", ""Y|P2-ED|1050|F"", ""Y|P2-ED|1050|G""]","[""Y|P2-ED|1050|A"", ""Y|P2-ED|1050|B"", ""Y|P2-ED|1050|C""]","[""Y|P2-ED|1050|A"", ""Y|P2-ED|1050|B"", ""Y|P2-ED|1050|C"", ""Y|P2-ED|1050|D"", ""Y|P2-ED|1050|E"", ""Y|P2-ED|1050|F"", ""Y|P2-ED|1050|G""]"
Y,SSA-P2-Raw,0.3,1020,Y|P2-Raw|1020,model_derived,7,3,7,,1.5775820540281387,0.4505685915775297,5.730091844815534,1.1847551290969833,0.20619706449043473,0.0003453599048256442,0.36586003865112704,0.0005920181288833324,1771.12869764808,0.8047519654241607,"[""Y|P2-Raw|1020|A"", ""Y|P2-Raw|1020|B"", ""Y|P2-Raw|1020|C"", ""Y|P2-Raw|1020|D"", ""Y|P2-Raw|1020|E"", ""Y|P2-Raw|1020|F"", ""Y|P2-Raw|1020|G""]","[""Y|P2-Raw|1020|A"", ""Y|P2-Raw|1020|B"", ""Y|P2-Raw|1020|C""]","[""Y|P2-Raw|1020|A"", ""Y|P2-Raw|1020|B"", ""Y|P2-Raw|1020|C"", ""Y|P2-Raw|1020|D"", ""Y|P2-Raw|1020|E"", ""Y|P2-Raw|1020|F"", ""Y|P2-Raw|1020|G""]"
Y,SSA-P2-Raw,0.3,1030,Y|P2-Raw|1030,model_derived,7,3,7,,2.8514591164509726,0.2987628782357921,8.197471130364727,1.0025834968287926,0.1885174189177753,0.001418872286634166,0.3449955079439882,0.0017408943074959074,1826.775070610147,4.874703179120093,"[""Y|P2-Raw|1030|A"", ""Y|P2-Raw|1030|B"", ""Y|P2-Raw|1030|C"", ""Y|P2-Raw|1030|D"", ""Y|P2-Raw|1030|E"", ""Y|P2-Raw|1030|F"", ""Y|P2-Raw|1030|G""]","[""Y|P2-Raw|1030|A"", ""Y|P2-Raw|1030|B"", ""Y|P2-Raw|1030|C""]","[""Y|P2-Raw|1030|A"", ""Y|P2-Raw|1030|B"", ""Y|P2-Raw|1030|C"", ""Y|P2-Raw|1030|D"", ""Y|P2-Raw|1030|E"", ""Y|P2-Raw|1030|F"", ""Y|P2-Raw|1030|G""]"
Y,SSA-P2-Raw,0.3,1050,Y|P2-Raw|1050,model_derived,7,3,7,,5.67980354966722,0.33526579880892027,16.044172192463666,1.1006540197931431,0.13675575032542778,0.0021450483660850886,0.2748003954509473,0.0027116776219562565,2005.9288571457614,11.583055493930111,"[""Y|P2-Raw|1050|A"", ""Y|P2-Raw|1050|B"", ""Y|P2-Raw|1050|C"", ""Y|P2-Raw|1050|D"", ""Y|P2-Raw|1050|E"", ""Y|P2-Raw|1050|F"", ""Y|P2-Raw|1050|G""]","[""Y|P2-Raw|1050|A"", ""Y|P2-Raw|1050|B"", ""Y|P2-Raw|1050|C""]","[""Y|P2-Raw|1050|A"", ""Y|P2-Raw|1050|B"", ""Y|P2-Raw|1050|C"", ""Y|P2-Raw|1050|D"", ""Y|P2-Raw|1050|E"", ""Y|P2-Raw|1050|F"", ""Y|P2-Raw|1050|G""]"
Y,,0.0,1020,Y|Ref|1020,model_derived,7,3,7,,-0.16238091960514475,0.4803575577935691,-0.46749073322134704,0.86515517839553,0.18400335022993455,0.0006247343191147576,0.33520210579073,0.0007904246076433194,1818.443134279381,2.570059810492027,"[""Y|Ref|1020|A"", ""Y|Ref|1020|B"", ""Y|Ref|1020|C"", ""Y|Ref|1020|D"", ""Y|Ref|1020|E"", ""Y|Ref|1020|F"", ""Y|Ref|1020|G""]","[""Y|Ref|1020|A"", ""Y|Ref|1020|B"", ""Y|Ref|1020|C""]","[""Y|Ref|1020|A"", ""Y|Ref|1020|B"", ""Y|Ref|1020|C"", ""Y|Ref|1020|D"", ""Y|Ref|1020|E"", ""Y|Ref|1020|F"", ""Y|Ref|1020|G""]"
Y,,0.0,1030,Y|Ref|1030,model_derived,7,3,7,,-0.05884752629956781,0.5585970214659566,-0.0008121974936743501,1.1821818650355238,0.18306569943314208,0.0005112502032515484,0.3333700628272938,0.0007453836956902315,1817.7646468922128,1.2044272664993907,"[""Y|Ref|1030|A"", ""Y|Ref|1030|B"", ""Y|Ref|1030|C"", ""Y|Ref|1030|D"", ""Y|Ref|1030|E"", ""Y|Ref|1030|F"", ""Y|Ref|1030|G""]","[""Y|Ref|1030|A"", ""Y|Ref|1030|B"", ""Y|Ref|1030|C""]","[""Y|Ref|1030|A"", ""Y|Ref|1030|B"", ""Y|Ref|1030|C"", ""Y|Ref|1030|D"", ""Y|Ref|1030|E"", ""Y|Ref|1030|F"", ""Y|Ref|1030|G""]"
Y,,0.0,1050,Y|Ref|1050,model_derived,7,3,7,,0.6565320365272882,0.5486560330049088,2.13792407309401,1.2810633274931444,0.17377990691169273,0.001101083274116163,0.32221964542005344,0.001067907899373595,1850.868882865395,5.764227644738978,"[""Y|Ref|1050|A"", ""Y|Ref|1050|B"", ""Y|Ref|1050|C"", ""Y|Ref|1050|D"", ""Y|Ref|1050|E"", ""Y|Ref|1050|F"", ""Y|Ref|1050|G""]","[""Y|Ref|1050|A"", ""Y|Ref|1050|B"", ""Y|Ref|1050|C""]","[""Y|Ref|1050|A"", ""Y|Ref|1050|B"", ""Y|Ref|1050|C"", ""Y|Ref|1050|D"", ""Y|Ref|1050|E"", ""Y|Ref|1050|F"", ""Y|Ref|1050|G""]"
