source_id,specimen_id,matrix_id,additive_id,additive_fraction_dry,firing_temperature_C,property,value,unit,replicate_id,file,sheet,cell,evidence_status
30156127,mix:Y-P2-Raw,Y,SSA-P2-Raw,0.3,,mixture_xrf_Al2O3,9.7263,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,E31,source_derived
30156127,mix:Y-P2-Raw,Y,SSA-P2-Raw,0.3,,mixture_xrf_SiO2,43.03139999999999,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,E32,source_derived
30156127,mix:Y-P2-Raw,Y,SSA-P2-Raw,0.3,,mixture_xrf_P2O5,7.287,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,E33,source_derived
30156127,mix:Y-P2-Raw,Y,SSA-P2-Raw,0.3,,mixture_xrf_K2O,2.3277,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,E34,source_derived
30156127,mix:Y-P2-Raw,Y,SSA-P2-Raw,0.3,,mixture_xrf_CaO,12.816199999999998,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,E35,source_derived
30156127,mix:Y-P2-Raw,Y,SSA-P2-Raw,0.3,,mixture_xrf_TiO2,0.7293,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,E36,source_derived
30156127,mix:Y-P2-Raw,Y,SSA-P2-Raw,0.3,,mixture_xrf_MnO,0.5251,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,E37,source_derived
30156127,mix:Y-P2-Raw,Y,SSA-P2-Raw,0.3,,mixture_xrf_Fe2O3,8.228000000000002,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,E38,source_derived
30156127,mix:Y-P2-Raw,Y,SSA-P2-Raw,0.3,,mixture_xrf_Total,99.9705,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,E39,source_derived
30156127,mix:Y-P2-ED,Y,SSA-P2-ED,0.3,,mixture_xrf_Na2O,0.6268,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,F29,source_derived
30156127,mix:Y-P2-ED,Y,SSA-P2-ED,0.3,,mixture_xrf_MgO,2.7053999999999996,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,F30,source_derived
30156127,mix:Y-P2-ED,Y,SSA-P2-ED,0.3,,mixture_xrf_Al2O3,9.8703,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,F31,source_derived
30156127,mix:Y-P2-ED,Y,SSA-P2-ED,0.3,,mixture_xrf_SiO2,46.78049999999999,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,F32,source_derived
30156127,mix:Y-P2-ED,Y,SSA-P2-ED,0.3,,mixture_xrf_P2O5,4.580699999999999,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,F33,source_derived
30156127,mix:Y-P2-ED,Y,SSA-P2-ED,0.3,,mixture_xrf_K2O,2.364,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,F34,source_derived
30156127,mix:Y-P2-ED,Y,SSA-P2-ED,0.3,,mixture_xrf_CaO,9.809,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,F35,source_derived
30156127,mix:Y-P2-ED,Y,SSA-P2-ED,0.3,,mixture_xrf_TiO2,0.8375999999999999,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,F36,source_derived
30156127,mix:Y-P2-ED,Y,SSA-P2-ED,0.3,,mixture_xrf_MnO,0.5155,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,F37,source_derived
30156127,mix:Y-P2-ED,Y,SSA-P2-ED,0.3,,mixture_xrf_Fe2O3,10.5035,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,F38,source_derived
30156127,mix:Y-P2-ED,Y,SSA-P2-ED,0.3,,mixture_xrf_Total,99.96689999999998,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,F39,source_derived
30156127,mix:Y-P2-A2P,Y,unresolved:#0179,0.3,,mixture_xrf_Na2O,0.6298,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,G29,identity_ambiguous
30156127,mix:Y-P2-A2P,Y,unresolved:#0179,0.3,,mixture_xrf_MgO,2.2716,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,G30,identity_ambiguous
30156127,mix:Y-P2-A2P,Y,unresolved:#0179,0.3,,mixture_xrf_Al2O3,10.3326,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,G31,identity_ambiguous
30156127,mix:Y-P2-A2P,Y,unresolved:#0179,0.3,,mixture_xrf_SiO2,51.61679999999999,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,G32,identity_ambiguous
30156127,mix:Y-P2-A2P,Y,unresolved:#0179,0.3,,mixture_xrf_P2O5,1.0611,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,G33,identity_ambiguous
30156127,mix:Y-P2-A2P,Y,unresolved:#0179,0.3,,mixture_xrf_K2O,2.4816000000000003,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,G34,identity_ambiguous
30156127,mix:Y-P2-A2P,Y,unresolved:#0179,0.3,,mixture_xrf_CaO,8.2877,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,G35,identity_ambiguous
30156127,mix:Y-P2-A2P,Y,unresolved:#0179,0.3,,mixture_xrf_TiO2,0.9329999999999999,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,G36,identity_ambiguous
30156127,mix:Y-P2-A2P,Y,unresolved:#0179,0.3,,mixture_xrf_MnO,0.5071,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,G37,identity_ambiguous
30156127,mix:Y-P2-A2P,Y,unresolved:#0179,0.3,,mixture_xrf_Fe2O3,10.711099999999998,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,G38,identity_ambiguous
30156127,mix:Y-P2-A2P,Y,unresolved:#0179,0.3,,mixture_xrf_Total,99.97289999999998,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,G39,identity_ambiguous
