source_id,material_id,temperature_C,relative_humidity_percent,time_min,moisture_ratio,readout_bound_MR,experimental_uncertainty_MR,source_kind,upstream_observation_kind,locator,image,pixel_x,pixel_y,method,calibration_role,independent_material
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,50,30,90,0.046296,0.012346,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3a,figures/wang2021-figure3-ab.png,248,346,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,50,30,100,0.037037,0.012346,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3a,figures/wang2021-figure3-ab.png,265,349,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,60,30,0,1.0,0.0,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3a,figures/wang2021-figure3-ab.png,96,37.0,initial_normalization_defined_by_source_eq2,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,60,30,10,0.802469,0.021605,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3a,figures/wang2021-figure3-ab.png,113,101,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,60,30,20,0.623457,0.029321,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3a,figures/wang2021-figure3-ab.png,130,159.0,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,60,30,30,0.462963,0.026235,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3a,figures/wang2021-figure3-ab.png,147,211,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,60,30,40,0.320988,0.024691,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3a,figures/wang2021-figure3-ab.png,164,257.0,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,60,30,50,0.212963,0.020062,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3a,figures/wang2021-figure3-ab.png,180,292,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,60,30,60,0.108025,0.016975,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3a,figures/wang2021-figure3-ab.png,197,326.0,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,60,30,70,0.058642,0.012346,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3a,figures/wang2021-figure3-ab.png,214,342,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,60,30,80,0.030864,0.012346,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3a,figures/wang2021-figure3-ab.png,231,351,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,40,40,0,1.0,0.0,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3b,figures/wang2021-figure3-ab.png,714,37.0,initial_normalization_defined_by_source_eq2,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,40,40,10,0.91358,0.013889,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3b,figures/wang2021-figure3-ab.png,731,65.0,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,40,40,20,0.825617,0.020062,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3b,figures/wang2021-figure3-ab.png,748,93.5,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,40,40,30,0.736111,0.018519,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3b,figures/wang2021-figure3-ab.png,765,122.5,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,40,40,40,0.651235,0.020062,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3b,figures/wang2021-figure3-ab.png,782,150,color_symbol_pixel_readout,unassigned,False
