step,stage,evaluation_time_s,internal_moisture_mol_s,internal_moisture_enthalpy_w,internal_conduction_w,internal_moisture_entropy_w_k,internal_moisture_entropy_state,outward_vapor_mol_s,outward_vapor_enthalpy_w,external_heat_into_cell_w,external_vapor_entropy_state,external_heat_entropy_w_k,material_qualified
0,predictor,0.0,-1.284e-06,0.37226196135503214,-0.008401986999202521,,positive_infinite_boundary_limit,3.1106739827218986e-06,-0.7485925882375627,0.016999999701976777,positive_infinite_vacuum_limit,2.4796223904638844e-06,False
0,accepted_midpoint,0.0125,-1.2839993913631568e-06,0.3722617854069621,-0.00840192406565249,0.00016134288694680984,finite,3.0113290220647446e-06,-0.724684940976067,0.01700001519918442,positive_infinite_vacuum_limit,2.4796270267130776e-06,False
1,predictor,0.025,-1.2839985537911002e-06,0.37226154304008147,-0.008401858961980044,0.00015394298807713092,finite,2.919787022257106e-06,-0.7026550984580607,0.01700003069639206,positive_infinite_vacuum_limit,2.479631662966824e-06,False
1,accepted_midpoint,0.037500000000000006,-1.2839977117532338e-06,0.3722612993787429,-0.00840179819855243,0.0001496142660130893,finite,2.827938606764462e-06,-0.6805515159590338,0.01700004541873932,positive_infinite_vacuum_limit,2.4796360674120993e-06,False
