time_s,cell,temperature_k,pressure_pa,condensed_water_mol,vapor_water_mol,W_kg_water_per_kg_dry,state_U_j,decoded_U_j,excess_U_j,activity,U_residual_plus_error_j,temperature_error_bound_k,phase_water_mol_s,phase_entropy_state,material_qualified,model_identity
0.0,0,330.00000047683716,99598.94784677424,0.0,1e-06,0.0,1759.761702398575,1759.7617101319024,1492.1876207034793,0.0,7.73336390792841e-06,4.817357310759378e-07,-2.7437726679552136e-08,positive_infinite_boundary_limit,False,d1ec0284ede9064f9c63355ed33b2c3e7c1b0af889412165776b7364fa52f5f9
0.0,1,333.0000002980232,99852.63484537738,0.06,1e-06,0.10809160799999998,-15580.10695224632,-15580.106946035756,1096.392568561206,0.2976552689769322,6.278520166212988e-06,3.911293729343199e-07,5.557376016743782e-07,finite,False,d1ec0284ede9064f9c63355ed33b2c3e7c1b0af889412165776b7364fa52f5f9
0.025,0,330.0000151991844,99598.77012206832,3.27856893168938e-08,9.99314295467185e-07,5.906429796085787e-08,1759.7526059020413,1759.7526067525644,1492.187404429919,1.5916226040833497e-07,8.505595359013412e-07,5.2984047444218453e-08,-2.7418642558622163e-08,finite,False,d1ec0284ede9064f9c63355ed33b2c3e7c1b0af889412165776b7364fa52f5f9
0.025,1,332.99996930360794,99833.52736060022,0.05999995398175764,9.386350320195813e-07,0.10809152509690309,-15580.079313625882,-15580.079314068837,1096.3928721244165,0.2976549746765825,5.108989143334944e-07,3.182717933272249e-08,5.576449772014943e-07,finite,False,d1ec0284ede9064f9c63355ed33b2c3e7c1b0af889412165776b7364fa52f5f9
0.05,0,330.0000299215317,99598.59252809119,6.55708597041482e-08,9.986290678737614e-07,1.1812766105606302e-07,1759.743509414512,1759.7435034076816,1492.1871881597822,3.183220357502654e-07,6.006866734479144e-06,3.741867545875858e-07,-2.7399571523747917e-08,finite,False,d1ec0284ede9064f9c63355ed33b2c3e7c1b0af889412165776b7364fa52f5f9
0.05,1,332.99993908405304,99815.86052220425,0.05999990791774635,8.819006353466875e-07,0.10809144211135223,-15580.052778349318,-15580.052780146041,1096.3931759895456,0.297654681799466,1.8646545600640038e-06,1.1616133369396308e-07,5.594083394196595e-07,finite,False,d1ec0284ede9064f9c63355ed33b2c3e7c1b0af889412165776b7364fa52f5f9
