time_s,moisture_kg_water_kg_dry,water_out_kg_s,required_net_heat_w,cumulative_water_out_kg,cumulative_net_heat_j,cumulative_vapor_enthalpy_j,target_total_enthalpy_j,recovered_total_enthalpy_j,recovered_temperature_difference_k
0.0,0.32,8.656444444444446e-05,212.82089203038242,0.0,0.0,0.0,-494488.5988195604,-494488.5988195436,5.502442945726216e-11
16.62669079312752,0.30583333333333335,8.385861111111112e-05,206.53058807082382,0.0014166666666666661,3485.969292842581,-18843.923304544296,-472158.70622217347,-472158.70622218226,-2.887645678129047e-11
33.7987620351298,0.2916666666666667,8.115277777777778e-05,200.57759846752623,0.0028333333333333322,6979.906839653417,-37687.84660908859,-449820.84537081834,-449820.84537080163,5.650235834764317e-11
51.553209260680305,0.2775,7.844694444444446e-05,194.821249516786,0.004249999999999999,10489.75708487695,-56531.76991363289,-427467.07182105054,-427467.07182105054,3.410605131648481e-13
69.9309249158704,0.2633333333333333,7.574111111111111e-05,189.00064776181287,0.0056666666666666705,14016.427435920603,-75375.69321817726,-405096.4781654625,-405096.4781654463,5.74686964682769e-11
88.97726564315455,0.24916666666666665,7.303527777777778e-05,183.11579320260702,0.0070833333333333364,17559.91789278435,-94219.61652272155,-382709.0644040545,-382709.0644040634,-3.1604940886609256e-11
108.74272670433504,0.235,7.032944444444445e-05,177.16668583916834,0.008500000000000002,21120.228455468197,-113063.53982726585,-360304.83053682634,-360304.83053681045,5.843503458891064e-11
129.28374877901354,0.22083333333333333,6.762361111111111e-05,171.15332567149684,0.009916666666666669,24697.359123972157,-131907.46313181013,-337883.77656377805,-337883.77656377805,6.252776074688882e-13
150.66368959611248,0.20666666666666667,6.491777777777779e-05,165.07571269959257,0.011333333333333334,28291.30989829622,-150751.38643635443,-315445.90248490975,-315445.90248492616,-6.264144758461043e-11
172.9540025379138,0.1925,6.221194444444446e-05,159.5737412091698,0.012750000000000001,31905.937921297533,-169595.30974089872,-292987.3511573641,-292987.35115738,-6.218670023372397e-11
196.23567748597327,0.17833333333333332,5.950611111111111e-05,154.49590993038717,0.01416666666666667,35561.86224059515,-188439.23304544308,-270487.50353352213,-270487.50353353756,-6.17319528828375e-11
220.60101720235502,0.16416666666666666,5.680027777777778e-05,149.24868489499082,0.015583333333333336,39262.13047523667,-207283.15634998737,-247943.3119943363,-247943.31199432164,6.127720553195104e-11
246.15584761096014,0.15,5.4094444444444444e-05,143.8320661029807,0.017,43006.742625222105,-226127.07965453167,-225354.7765398066,-225354.77653982115,-6.082245818106458e-11
