time_s,cell,temperature_k,pressure_pa,moisture_kg_water_per_kg_dry,condensed_water_mol,vapor_water_mol,total_internal_energy_j,activity
0.0,0,330.0,99517.361287996,0.36030535999999996,0.2,1e-06,-55944.998792465,0.6624187583231933
0.0,1,333.0,100807.20137263581,0.40534352999999995,0.225,1e-06,-62997.405503907714,0.7031440406391415
0.025,0,330.0000330209732,99530.563387554,0.3603053108378299,0.1999999727108306,1.0275418210019127e-06,-55944.99666279051,0.6624187872008525
0.025,1,332.99989181756973,100821.40022858113,0.40534346972070434,0.22499996653988405,1.0332074643817354e-06,-62997.4076335822,0.7031437917708485
0.05,0,330.00006633996964,99543.75805658806,0.36030526172923955,0.19999994545140246,1.0550786011042677e-06,-55944.99453917684,0.6624188167227902
0.05,1,332.99978333711624,100835.57469036386,0.4053434095121207,0.22499993311901925,1.0663509772054678e-06,-62997.40975719587,0.7031435423748096
