Isothermal temperature [K]: 1164						1098						994						994						994						994						994						942						917						891						867						841					
Time [s]	Temperature [K]	Norm. porosity	Error	Length [m]	Error	Time [s]	Temperature [K]	Norm. porosity	Error	Length [m]	Error	Time [s]	Temperature [K]	Norm. porosity	Error	Length [m]	Error	Time [s]	Temperature [K]	Norm. porosity	Error	Length [m]	Error	Time [s]	Temperature [K]	Norm. porosity	Error	Length [m]	Error	Time [s]	Temperature [K]	Norm. porosity	Error	Length [m]	Error	Time [s]	Temperature [K]	Norm. porosity	Error	Length [m]	Error	Time [s]	Temperature [K]	Norm. porosity	Error	Length [m]	Error	Time [s]	Temperature [K]	Norm. porosity	Error	Length [m]	Error	Time [s]	Temperature [K]	Norm. porosity	Error	Length [m]	Error	Time [s]	Temperature [K]	Norm. porosity	Error	Length [m]	Error	Time [s]	Temperature [K]	Norm. porosity	Error	Length [m]	Error
																																										26195	941	3.913e-02	7.223e-04	2.436e-03	4.087e-05	26920	916	5.742e-02	1.244e-03	2.514e-03	4.217e-05																		
																																										26285	942	3.913e-02	7.223e-04	2.436e-03	4.087e-05	27010	916	3.393e-02	8.663e-04	2.488e-03	4.174e-05																		
																																										26375	942	3.892e-02	7.193e-04	2.436e-03	4.087e-05	27100	917	3.341e-02	8.452e-04	2.488e-03	4.174e-05																		
																																										26465	942	3.965e-02	7.295e-04	2.436e-03	4.087e-05	27190	917	3.258e-02	8.097e-04	2.488e-03	4.174e-05																		
																																										26555	941	4.047e-02	7.423e-04	2.436e-03	4.087e-05	27280	917	3.287e-02	8.225e-04	2.488e-03	4.174e-05																		
																																										26645	942	3.760e-02	7.055e-04	2.436e-03	4.087e-05	27370	917	3.366e-02	8.553e-04	2.488e-03	4.174e-05																		
																																										26735	941	4.250e-02	7.824e-04	2.436e-03	4.087e-05	27460	917	2.989e-02	7.002e-04	2.488e-03	4.174e-05																		
																																										26825	941	3.684e-02	6.970e-04	2.436e-03	4.087e-05	27550	917	2.989e-02	7.002e-04	2.488e-03	4.174e-05																		
																																										26915	941	4.256e-02	7.838e-04	2.436e-03	4.087e-05	27640	917	7.001e-02	1.391e-03	2.539e-03	4.261e-05																		
																																										27005	941	4.199e-02	7.714e-04	2.436e-03	4.087e-05	27730	917	7.092e-02	1.410e-03	2.539e-03	4.261e-05																		
																																										27095	941	4.098e-02	7.514e-04	2.436e-03	4.087e-05	27820	917	2.853e-02	6.469e-04	2.488e-03	4.174e-05																		
																																										27185	941	4.252e-02	7.827e-04	2.436e-03	4.087e-05	27910	917	2.989e-02	6.998e-04	2.488e-03	4.174e-05																		
																																										27275	941	3.740e-02	7.034e-04	2.436e-03	4.087e-05	28000	917	2.853e-02	6.469e-04	2.488e-03	4.174e-05																		
																																										27365	941	3.842e-02	7.133e-04	2.436e-03	4.087e-05	28090	916	3.015e-02	7.102e-04	2.488e-03	4.174e-05																		
																																										27455	942	3.947e-02	7.257e-04	2.436e-03	4.087e-05	28171	916	3.070e-02	7.326e-04	2.488e-03	4.174e-05																		
																																										27545	941	3.896e-02	7.196e-04	2.436e-03	4.087e-05	28180	917	3.095e-02	7.424e-04	2.488e-03	4.174e-05																		
																																										27635	941	4.302e-02	7.940e-04	2.436e-03	4.087e-05	28270	916	3.097e-02	7.431e-04	2.488e-03	4.174e-05																		
																																										27725	941	4.411e-02	8.213e-04	2.436e-03	4.087e-05	28360	916	3.124e-02	7.545e-04	2.488e-03	4.174e-05																		
																																										27815	941	4.049e-02	7.427e-04	2.436e-03	4.087e-05	28450	916	2.935e-02	6.786e-04	2.488e-03	4.174e-05																		
																																										27905	941	4.309e-02	7.962e-04	2.436e-03	4.087e-05	28540	916	3.125e-02	7.552e-04	2.488e-03	4.174e-05																		
																																										27995	941	3.597e-02	6.936e-04	2.436e-03	4.087e-05	28630	917	2.962e-02	6.895e-04	2.488e-03	4.174e-05																		
																																										28085	941	4.464e-02	8.352e-04	2.436e-03	4.087e-05	28720	917	2.935e-02	6.786e-04	2.488e-03	4.174e-05																		
																																										28175	941	4.210e-02	7.739e-04	2.436e-03	4.087e-05	28810	917	6.967e-02	1.384e-03	2.539e-03	4.261e-05																		
																																										28265	941	4.209e-02	7.738e-04	2.436e-03	4.087e-05																								
																																										28355	941	3.930e-02	7.238e-04	2.436e-03	4.087e-05																								
																																										28445	941	3.749e-02	7.033e-04	2.436e-03	4.087e-05																								
																																										28535	941	3.717e-02	6.988e-04	2.436e-03	4.087e-05																								
																																										28625	941	3.452e-02	6.900e-04	2.436e-03	4.087e-05																								
																																										28715	941	3.539e-02	6.892e-04	2.436e-03	4.087e-05																								
																																										28805	941	4.071e-02	7.465e-04	2.436e-03	4.087e-05																								
