scenario_id,tau_left,tau_right,integral_J_u,integral_J_v,integral_q_body
R01,0,0.10000000000000001,-0.0076271279858053497,0.0076271279858053358,0.17425022610108609
R01,0.10000000000000001,0.20000000000000001,-0.018708469486765252,0.018708469486765252,0.13557827078583812
R01,0.20000000000000001,0.30000000000000004,-0.02611625888551523,0.026116258885515203,0.10989033939060611
R01,0.30000000000000004,0.40000000000000002,-0.031333034853256017,0.031333034853256003,0.092107419537459212
R01,0.40000000000000002,0.5,-0.035079512193618295,0.035079512193618267,0.0793902438359122
R01,0.5,0.60000000000000009,-0.037782887162523968,0.03778288716252394,0.070045645802920276
R01,0.60000000000000009,0.70000000000000007,-0.039722468248574283,0.039722468248574283,0.063013480104178288
R01,0.70000000000000007,0.80000000000000004,-0.041091173965999483,0.041091173965999483,0.057604077315999258
R01,0.80000000000000004,0.90000000000000002,-0.04202668835031248,0.04202668835031248,0.053354792709286003
R01,0.90000000000000002,1,-0.042629429161405108,0.042629429161405108,0.049947413566711729
R01,1,1.1000000000000001,-0.042973805867176307,0.042973805867176307,0.047158515327906825
R01,1.1000000000000001,1.2000000000000002,-0.043115649292068958,0.043115649292068958,0.044828524715119666
R01,1.2000000000000002,1.3,-0.043097286286230385,0.043097286286230607,0.042841838737251781
R01,1.3,1.4000000000000001,-0.042951092505972566,0.042951092505972677,0.041113707159379231
R01,1.4000000000000001,1.5,-0.042702027500144069,0.042702027500144069,0.039581378679520718
R01,1.5,1.6000000000000001,-0.04236947170977523,0.04236947170977523,0.038198006586291022
R01,1.6000000000000001,1.7000000000000002,-0.041968574865769881,0.041968574865769881,0.036928382078176503
R01,1.7000000000000002,1.8,-0.04151125667686828,0.04151125667686828,0.035745902880198521
R01,1.8,1.9000000000000001,-0.041006956573328646,0.041006956573328424,0.034630391775191338
R01,1.9000000000000001,2,-0.040463200144608802,0.04046320014460858,0.033566509087445073
R01,2,2.1000000000000001,-0.039886030266487182,0.039886030266487182,0.032542585946666591
R01,2.1000000000000001,2.2000000000000002,-0.039280337420381173,0.039280337420381062,0.031549759228297169
R01,2.2000000000000002,2.3000000000000003,-0.038650114290281756,0.038650114290281867,0.030581325044765739
R01,2.3000000000000003,2.4000000000000004,-0.037998653056814047,0.037998653056814047,0.029632252012277371
R01,2.4000000000000004,2.5,-0.037328699031159873,0.037328699031159873,0.028698812252053729
R01,2.5,2.6000000000000001,-0.036642570811005526,0.036642570811005526,0.027778299744308566
R01,2.6000000000000001,2.7000000000000002,-0.035942254609534263,0.035942254609534041,0.026868813879048048
R01,2.7000000000000002,2.8000000000000003,-0.03522947854125591,0.03522947854125591,0.025969091915916342
R01,2.8000000000000003,2.9000000000000004,-0.034505771260814555,0.034505771260814555,0.025078378295062542
R01,2.9000000000000004,3,-0.033772508312681859,0.033772508312681859,0.024196321817799404
R01,3,3.1000000000000001,-0.033030948768560497,0.033030948768560497,0.023322893973510173
R01,3.1000000000000001,3.2000000000000002,-0.032282264138596029,0.032282264138596029,0.02245832335901965
R01,3.2000000000000002,3.3000000000000003,-0.031527561094173873,0.031527561094173873,0.02160304238086197
R01,3.3000000000000003,3.4000000000000004,-0.030767899198292259,0.030767899198292259,0.020757643364471834
R01,3.4000000000000004,3.5,-0.030004304578815866,0.030004304578815866,0.019922841899488786
R01,3.5,3.6000000000000001,-0.029237780280334302,0.029237780280334302,0.019099445786099345
R01,3.6000000000000001,3.7000000000000002,-0.028469313877728109,0.028469313877727664,0.018288328356474315
R01,3.7000000000000002,3.8000000000000003,-0.02769988281782787,0.02769988281782787,0.017490405259093178
R01,3.8000000000000003,3.9000000000000004,-0.026930457866377822,0.026930457866377377,0.01670661403480711
R01,3.9000000000000004,4,-0.026162004969591868,0.026162004969591868,0.015937895998753504
R01,4,4.1000000000000005,-0.025395485787924388,0.025395485787924388,0.015185180084109628
R01,4.1000000000000005,4.2000000000000002,-0.024631857120548606,0.024631857120548162,0.01444936841134159
R01,4.2000000000000002,4.2999999999999998,-0.023872069409383467,0.023872069409383467,0.013731323427289999
R01,4.2999999999999998,4.4000000000000004,-0.023117064488912709,0.023117064488912709,0.013031856517000229
R01,4.4000000000000004,4.5,-0.022367772730877533,0.022367772730877533,0.012351718032473036
R01,4.5,4.6000000000000005,-0.021625109719320967,0.021625109719320967,0.011691588709081158
R01,4.6000000000000005,4.7000000000000002,-0.02088997258067038,0.02088997258067038,0.011052072455476125
R01,4.7000000000000002,4.8000000000000007,-0.020163236084227876,0.020163236084227876,0.010433690508504068
R01,4.8000000000000007,4.9000000000000004,-0.019445748620245507,0.019445748620245507,0.0098368769428824887
R01,4.9000000000000004,5,-0.018738328154832118,0.018738328154832118,0.0092619755180827212
R01,5,5.1000000000000005,-0.018041758253102724,0.018041758253102724,0.0087092378333966103
R01,5.1000000000000005,5.2000000000000002,-0.017356784253877322,0.017356784253877322,0.0081788227482222364
R01,5.2000000000000002,5.3000000000000007,-0.016684109670672687,0.016684109670672687,0.0076707970091902666
R01,5.3000000000000007,5.4000000000000004,-0.01602439288477675,0.01602439288477675,0.00718513701018475
R01,5.4000000000000004,5.5,-0.015378244186735168,0.015378244186735168,0.0067217315965275581
R01,5.5,5.6000000000000005,-0.014746223212756648,0.014746223212756648,0.0062803858113760214
R01,5.6000000000000005,5.7000000000000002,-0.01412883681254562,0.01412883681254562,0.0058608254713066188
R01,5.7000000000000002,5.8000000000000007,-0.013526537374888292,0.013526537374888292,0.0054627024497841958
R01,5.8000000000000007,5.9000000000000004,-0.01293972162740431,0.01293972162740431,0.0050856005417485584
R01,5.9000000000000004,6,-0.012368729917134669,0.012368729917134669,0.0047290417802525742
R01,6,6.1000000000000005,-0.011813845969437908,0.011813845969437908,0.0043924930767653692
R01,6.1000000000000005,6.2000000000000002,-0.011275297114196725,0.011275297114196725,0.004075373060349774
R01,6.2000000000000002,6.3000000000000007,-0.010753254960565783,0.010753254960565783,0.0037770589970620438
R01,6.3000000000000007,6.4000000000000004,-0.010247836494740925,0.010247836494740925,0.0034968936793302596
R01,6.4000000000000004,6.5,-0.0097591055695387396,0.0097591055695387396,0.0032341921852887534
R01,6.5,6.6000000000000005,-0.009287074749801949,0.009287074749801949,0.0029882484196015469
R01,6.6000000000000005,6.7000000000000002,-0.0088317074742250146,0.0088317074742250146,0.0027583413598091244
R01,6.7000000000000002,6.8000000000000007,-0.0083929204916115552,0.0083929204916115552,0.0025437409451929405
R01,6.8000000000000007,6.9000000000000004,-0.0079705865282295729,0.0079705865282295729,0.0023437135581618751
R01,6.9000000000000004,7,-0.0075645371424584162,0.0075645371424584162,0.0021575270608453767
R01,7,7.1000000000000005,-0.007174565723428783,0.007174565723429227,0.0019844553616745753
R01,7.1000000000000005,7.2000000000000002,-0.0068004305915361218,0.0068004305915361218,0.0018237824979405737
R01,7.2000000000000002,7.3000000000000007,-0.0064418581607490477,0.0064418581607490477,0.001674806230444803
R01,7.3000000000000007,7.4000000000000004,-0.0060985461250362416,0.0060985461250362416,0.0015368411553062788
R01,7.4000000000000004,7.5,-0.0057701666342417912,0.0057701666342417912,0.0014092213456842195
R01,7.5,7.6000000000000005,-0.005456369427963681,0.005456369427963681,0.0012913025425498326
R01,7.6000000000000005,7.7000000000000002,-0.0051567848995137666,0.0051567848995142107,0.0011824639187572039
R01,7.7000000000000002,7.8000000000000007,-0.0048710270655822896,0.0048710270655822896,0.0010821094446200608
R01,7.8000000000000007,7.9000000000000004,-0.0045986964209099312,0.0045986964209099312,0.00098966888590568125
R01,7.9000000000000004,8,-0.0043393826607469599,0.0043393826607469599,0.00090459846698132118
R01,8,8.0999999999999996,-0.0040926672574259637,0.0040926672574259637,0.00082638123267120278
R01,8.0999999999999996,8.2000000000000011,-0.0038581258805028273,0.0038581258805028273,0.0007545271424516109
R01,8.2000000000000011,8.3000000000000007,-0.0036353306531020646,0.0036353306531020646,0.00068857292998791841
R01,8.3000000000000007,8.4000000000000004,-0.0034238522397533888,0.0034238522397533888,0.00062808175997197679
R01,8.4000000000000004,8.5,-0.0032232617636349659,0.0032232617636349659,0.00057264271254231502
R01,8.5,8.5999999999999996,-0.0030331325533166087,0.0030331325533166087,0.00052187012381965658
R01,8.5999999999999996,8.7000000000000011,-0.002853041721062155,0.002853041721062155,0.00047540280891289477
R01,8.7000000000000011,8.8000000000000007,-0.0026825715764204894,0.0026825715764204894,0.00043290319155286916
