         1475264 function calls (1332316 primitive calls) in 0.895 seconds

   Ordered by: cumulative time
   List reduced from 127 to 22 due to restriction <22>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       18    0.001    0.000    0.857    0.048 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/carbon_calcium_open_column.py:41(observe)
       18    0.002    0.000    0.842    0.047 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/carbon_calcium_open_column.py:37(states)
      576    0.003    0.000    0.840    0.001 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/recorded_carbon_calcium_pressure.py:22(at_temperature_volume)
     5314    0.008    0.000    0.734    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/recorded_carbon_calcium_inventory.py:145(_equilibrium_at_pressure)
     5314    0.077    0.000    0.726    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/recorded_carbon_calcium_inventory.py:14(_inventory_equilibrium)
10924/1680    0.017    0.000    0.720    0.000 /Users/wanggaoying/Desktop/brickmodel-github/.venv/lib/python3.12/site-packages/scipy/optimize/_zeros_py.py:724(brentq)
10924/1680    0.060    0.000    0.717    0.000 {built-in method scipy.optimize._zeros._brentq}
144114/19654    0.197    0.000    0.711    0.000 /Users/wanggaoying/Desktop/brickmodel-github/.venv/lib/python3.12/site-packages/scipy/optimize/_zeros_py.py:106(f_raise)
     4738    0.011    0.000    0.673    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/recorded_carbon_calcium_pressure.py:38(<lambda>)
    10264    0.078    0.000    0.477    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/recorded_carbon_calcium_inventory.py:43(fixed_calcium)
        9    0.002    0.000    0.409    0.045 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/carbon_calcium_open_column.py:56(rate_components)
      576    0.002    0.000    0.152    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/recorded_carbon_calcium_pressure.py:59(at_temperature_pressure)
   119096    0.067    0.000    0.104    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/recorded_carbon_calcium_inventory.py:62(residual)
     1576    0.011    0.000    0.091    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/recorded_carbon_calcium_inventory.py:81(coexistence)
    62545    0.041    0.000    0.080    0.000 {built-in method math.fsum}
      576    0.038    0.000    0.078    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/recorded_carbon_calcium_pressure.py:165(caloric_response)
     1576    0.002    0.000    0.073    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/recorded_carbon_calcium_inventory.py:30(log_root)
   298262    0.038    0.000    0.038    0.000 {built-in method math.exp}
      288    0.022    0.000    0.035    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/carbon_calcium_caloric_inventory.py:12(caloric_inventory_tangent)
    11840    0.023    0.000    0.035    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/recorded_carbon_calcium_inventory.py:37(quantities)
    20280    0.012    0.000    0.031    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/recorded_carbon_calcium_inventory.py:31(<lambda>)
     1440    0.011    0.000    0.024    0.000 /Users/wanggaoying/Desktop/brickmodel-github/.venv/lib/python3.12/site-packages/numpy/linalg/_linalg.py:374(solve)
