         1475180 function calls (1332232 primitive calls) in 0.893 seconds

   Ordered by: cumulative time
   List reduced from 127 to 22 due to restriction <22>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       18    0.000    0.000    0.857    0.048 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/carbon_calcium_open_column.py:41(observe)
       18    0.002    0.000    0.841    0.047 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/carbon_calcium_open_column.py:37(states)
      576    0.002    0.000    0.839    0.001 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/recorded_carbon_calcium_pressure.py:22(at_temperature_volume)
     5314    0.009    0.000    0.726    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/recorded_carbon_calcium_inventory.py:145(_equilibrium_at_pressure)
     5314    0.087    0.000    0.717    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/recorded_carbon_calcium_inventory.py:14(_inventory_equilibrium)
10924/1680    0.016    0.000    0.708    0.000 /Users/wanggaoying/Desktop/brickmodel-github/.venv/lib/python3.12/site-packages/scipy/optimize/_zeros_py.py:724(brentq)
10924/1680    0.045    0.000    0.705    0.000 {built-in method scipy.optimize._zeros._brentq}
144114/19654    0.180    0.000    0.694    0.000 /Users/wanggaoying/Desktop/brickmodel-github/.venv/lib/python3.12/site-packages/scipy/optimize/_zeros_py.py:106(f_raise)
     4738    0.008    0.000    0.655    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/recorded_carbon_calcium_pressure.py:38(<lambda>)
        9    0.003    0.000    0.473    0.053 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/carbon_calcium_open_column.py:56(rate_components)
    10264    0.077    0.000    0.464    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/recorded_carbon_calcium_inventory.py:43(fixed_calcium)
      576    0.002    0.000    0.172    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/recorded_carbon_calcium_pressure.py:59(at_temperature_pressure)
   119096    0.070    0.000    0.101    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/recorded_carbon_calcium_inventory.py:62(residual)
     1576    0.014    0.000    0.092    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/recorded_carbon_calcium_inventory.py:81(coexistence)
      576    0.043    0.000    0.088    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/recorded_carbon_calcium_pressure.py:165(caloric_response)
    62545    0.039    0.000    0.075    0.000 {built-in method math.fsum}
     1576    0.004    0.000    0.065    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/recorded_carbon_calcium_inventory.py:30(log_root)
    11840    0.025    0.000    0.045    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/recorded_carbon_calcium_inventory.py:37(quantities)
   133316    0.034    0.000    0.034    0.000 {built-in method math.log}
      288    0.015    0.000    0.032    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/carbon_calcium_caloric_inventory.py:12(caloric_inventory_tangent)
   298262    0.031    0.000    0.031    0.000 {built-in method math.exp}
     1440    0.010    0.000    0.029    0.000 /Users/wanggaoying/Desktop/brickmodel-github/.venv/lib/python3.12/site-packages/numpy/linalg/_linalg.py:374(solve)
