         3710930 function calls (3545026 primitive calls) in 1.698 seconds

   Ordered by: cumulative time
   List reduced from 541 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    1.719    1.719 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/exact_source_column.py:96(evaluate)
        1    0.000    0.000    1.510    1.510 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/source_wet_column.py:184(evaluate)
        3    0.001    0.000    1.453    0.484 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/source_wet_storage.py:229(invert)
       75    0.002    0.000    1.450    0.019 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/source_wet_storage.py:203(evaluate)
     1122    0.013    0.000    0.682    0.001 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/arlabosse_caloric.py:72(_source)
     1047    0.005    0.000    0.661    0.001 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/arlabosse_caloric.py:88(cp)
       75    0.001    0.000    0.648    0.009 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/mass_wet_storage.py:44(evaluate_wet_fluid)
      306    0.004    0.000    0.644    0.002 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/source_wet_storage.py:134(binding)
       75    0.003    0.000    0.621    0.008 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/rigid_storage.py:179(evaluate_at_temperature)
      897    0.003    0.000    0.597    0.001 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/source_mass_caloric.py:111(binding)
      276    0.000    0.000    0.582    0.002 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/source_wet_storage.py:164(_check)
       75    0.000    0.000    0.527    0.007 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/rigid_water_gas.py:147(evaluate_at_temperature)
       75    0.002    0.000    0.527    0.007 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/rigid_water_gas.py:159(_evaluate_at_temperature)
     2000    0.002    0.000    0.518    0.000 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/rigid_water_gas.py:176(trial)
     2000    0.002    0.000    0.508    0.000 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/rigid_water_gas.py:140(_liquid_volume)
     2005    0.003    0.000    0.503    0.000 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/water_heos.py:96(state_tp)
      531    0.000    0.000    0.361    0.001 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/source_mass_caloric.py:122(_check)
      162    0.001    0.000    0.349    0.002 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/source_wet_storage.py:190(check)
     2045    0.030    0.000    0.287    0.000 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/_heos_kernel.py:286(state_tp)
     4488    0.004    0.000    0.266    0.000 /Users/wanggaoying/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/pathlib.py:1228(resolve)
     2361    0.020    0.000    0.253    0.000 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/water_heos.py:83(_guard)
     1350    0.006    0.000    0.233    0.000 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/deforming_solid_storage.py:85(_digest)
     4488    0.004    0.000    0.207    0.000 <frozen posixpath>:420(realpath)
      150    0.000    0.000    0.192    0.001 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/source_mass_caloric.py:125(cp)
       10    0.000    0.000    0.190    0.019 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/source_wet_column.py:157(_check)
       10    0.001    0.000    0.190    0.019 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/source_wet_column.py:100(binding)
115282/1350    0.084    0.000    0.173    0.000 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/deforming_solid_storage.py:51(_canonical)
       75    0.001    0.000    0.168    0.002 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/source_wet_storage.py:172(source_ids)
     4488    0.005    0.000    0.165    0.000 /Users/wanggaoying/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/pathlib.py:690(is_relative_to)
     8519    0.006    0.000    0.156    0.000 /Users/wanggaoying/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/json/__init__.py:299(loads)
     6135    0.058    0.000    0.150    0.000 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/_heos_kernel.py:150(_snapshot)
     4488    0.030    0.000    0.150    0.000 <frozen posixpath>:429(_joinrealpath)
     2045    0.022    0.000    0.148    0.000 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/_heos_kernel.py:195(_saturation_pair_locked)
     2361    0.002    0.000    0.146    0.000 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/water_implementation.py:33(sha256)
     8519    0.009    0.000    0.145    0.000 /Users/wanggaoying/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/json/decoder.py:333(decode)
