step,dt_s,n_mol_s,carried_W,conduction_W,Gamma_J_mol,nominal_entropy_W_K,rounded_entropy_W_K,water_integral_mol,carried_integral_J
0,0.025,-5.351200821847363e-07,0.15303058870099612,-0.00852857372056881,3119.2634011332484,2.2682869587900273e-07,2.2682869587900252e-07,-1.3378002054618408e-08,0.003825764717524903
1,0.025,-5.351196514443086e-07,0.15303046710123316,-0.0085285229722661,3119.264605103664,2.268284450373833e-07,2.2682844503738345e-07,-1.3377991286107715e-08,0.003825761677530829
