t_s,cell,T_K,W_kg_kg_dry,P_Pa,Nc_mol,Nv_mol,U_J,k_W_m_K
0.0,0,330.0,0.36030535999999996,99517.361287996,0.2,1e-06,-55944.998792465,0.0566285154354
0.0,1,333.0,0.40534352999999995,100807.20137263581,0.225,1e-06,-62997.405503907714,0.057088017364825
0.025,0,329.99996986985207,0.360305334938506,99529.15466391224,0.19999998608874764,1.0272892544244252e-06,-55945.00240501537,0.056628515179710105
0.025,1,332.99995148181915,0.40534344562004054,100822.93141070318,0.22499995316197383,1.0334600241202107e-06,-62997.40189135734,0.057088016503938466
0.05,0,329.99994003772736,0.360305309930218,99540.93536029398,0.1999999722070291,1.0545489642717567e-06,-55945.006017563974,0.05662851492456305
0.05,1,332.9999030530453,0.4053433613111911,100838.64289355045,0.2249999063634197,1.0668805869499542e-06,-62997.39827880874,0.057088015643777426
