         51187339 function calls (45672166 primitive calls) in 13.130 seconds

   Ordered by: cumulative time
   List reduced from 1142 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.002    0.002   13.151   13.151 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/run_service.py:62(read_run_with_source_record)
        1    0.001    0.001   12.962   12.962 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/source_run_service.py:371(verify_source_artifacts)
        1    0.000    0.000   12.961   12.961 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/source_study_record.py:318(decode_source_study)
        1    0.002    0.002   12.777   12.777 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/source_study_audit.py:718(audit_study)
       63    0.012    0.000   11.859    0.188 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/source_study_audit.py:76(_sample_record)
      126    0.005    0.000   11.070    0.088 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/source_observation_record.py:211(decode_source_sample)
184590/126    0.460    0.000    9.949    0.079 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/source_observation_record.py:112(_restore)
       63    0.007    0.000    6.335    0.101 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/source_observation_record.py:190(encode_source_sample)
52668/6930    0.017    0.000    5.645    0.001 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/source_observation_record.py:135(<genexpr>)
1037043/9891    1.016    0.000    5.574    0.001 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/source_observation_record.py:85(_project)
    72116    0.667    0.000    4.382    0.000 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/source_observation_schema.py:171(validate_fields)
2280127/26764    1.927    0.000    3.158    0.000 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/exact_record.py:96(pack)
        2    0.001    0.000    3.090    1.545 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/source_study_audit.py:251(_candidate)
430920/173943    0.071    0.000    3.078    0.000 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/source_observation_record.py:95(<genexpr>)
1562455/858884    1.031    0.000    3.032    0.000 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/source_observation_schema.py:140(matches)
        3    0.001    0.000    2.936    0.979 /private/tmp/brick-water-backend-probe/venv/lib/python3.12/site-packages/sludge_sandbox/source_study_audit.py:113(_trial)
569695/506786    0.335    0.000    2.335    0.000 {built-in method builtins.all}
