source_id,table,pdf_page,condition_C,A1,K1,A2,K2,A3,K3,source_R,source_R2_percent,source_loss,source_numeric_line
SILVA2018,4.15,109,50,0.387821,0.004265,0.091216,0.000258,0.535953,0.003671,0.99946,99.891,0.004823258,"50     0,387821    0,004265   0,091216   0,000258   0,535953   0,003671    0,99946     99,891       0,004823258"
SILVA2018,4.15,109,60,0.574559,0.004633,0.419857,0.004719,0.040949,-0.000146,0.99869,99.737,0.011336955,"60     0,574559    0,004633   0,419857   0,004719   0,040949   -0,000146   0,99869     99,737       0,011336955"
SILVA2018,4.15,109,70,0.511129,0.004934,0.510657,0.004929,0.018652,-0.000326,0.99875,99.750,0.010912852,"70     0,511129    0,004934   0,510657   0,004929   0,018652   -0,000326   0,99875     99,750       0,010912852"
SILVA2018,4.15,109,80,-0.670062,0.018504,1.606741,0.008782,0.054324,0.000440,0.99995,99.989,0.000472258,"80     -0,670062   0,018504   1,606741   0,008782   0,054324   0,000440    0,99995     99,989       0,000472258"
SILVA2018,4.15,109,90,0.252810,0.005576,0.338899,0.005921,0.463447,0.005702,0.99740,99.481,0.023480731,"90     0,252810    0,005576   0,338899   0,005921   0,463447   0,005702    0,99740     99,481       0,023480731"
SILVA2018,4.15,109,100,0.521918,0.007286,0.144841,0.007151,0.401816,0.007247,0.99690,99.380,0.025547162,"100    0,521918    0,007286   0,144841   0,007151   0,401816   0,007247    0,99690     99,380       0,025547162"
