source_id,table,pdf_page,condition_C,B1,B2,B3,B4,source_R,source_R2_percent,source_loss,source_numeric_line
SILVA2018,4.17,116,50,138.8301,-28.3998,1.743784,0.799623,0.93609,87.626,0.010510213,"50      138,8301   -28,3998   1,743784   0,799623   0,93609     87,626       0,010510213"
SILVA2018,4.17,116,60,46.12506,-7.11487,0.578258,0.875063,0.95756,91.691,0.005242792,"60      46,12506   -7,11487   0,578258   0,875063   0,95756     91,691       0,005242792"
SILVA2018,4.17,116,70,197.2900,-39.6807,1.947327,0.832275,0.96984,94.058,0.004023262,"70      197,2900   -39,6807   1,947327   0,832275   0,96984     94,058       0,004023262"
SILVA2018,4.17,116,80,128.3147,-18.4338,0.409029,0.788854,0.97447,94.959,0.006020077,"80      128,3147   -18,4338   0,409029   0,788854   0,97447     94,959       0,006020077"
SILVA2018,4.17,116,90,138.4372,-26.8351,1.270814,0.861886,0.95375,90.964,0.003402164,"90      138,4372   -26,8351   1,270814   0,861886   0,95375     90,964       0,003402164"
SILVA2018,4.17,116,100,86.36272,-13.2380,0.317325,0.884270,0.91048,82.898,0.005858689,"100     86,36272   -13,2380   0,317325   0,884270   0,91048     82,898       0,005858689"
