source_row,time_min,temperature_c,dta_uv,mass_ug,dtg_ug_min,time_s,temperature_k,mass_kg
28,8.3333333333333332E-3,31.229707717895501,7.5547695159912101E-3,10538.5205078125,29.4298706054688,0.4999999999999999920,304.379707717895501,0.0000105385205078125
29,1.6666666666666666E-2,31.235822677612301,8.7441205978393607E-3,10538.2587890625,29.3436279296875,0.999999999999999960,304.385822677612301,0.0000105382587890625
30,2.5000000000000001E-2,31.24560546875,9.8448991775512695E-3,10538.000793457,29.0531616210938,1.500000000000000060,304.39560546875,0.000010538000793457
31,3.3333333333333333E-2,31.252943038940401,1.10820531845093E-2,10537.7371826172,29.034912109375,1.999999999999999980,304.402943038940401,0.0000105377371826172
32,4.1666666666666664E-2,31.259057998657202,1.21810436248779E-2,10537.517150878901,28.9171142578125,2.499999999999999840,304.409057998657202,0.000010537517150878901
33,0.05,31.261503219604499,1.32670402526855E-2,10537.2800292969,29.0159301757813,3.00,304.411503219604499,0.0000105372800292969
34,5.8333333333333334E-2,31.265172958373999,1.4513850212097199E-2,10537.0183105469,28.961669921875,3.500000000000000040,304.415172958373999,0.0000105370183105469
35,6.6666666666666666E-2,31.270063400268601,1.5831112861633301E-2,10536.7888183594,28.7109985351563,3.999999999999999960,304.420063400268601,0.0000105367888183594
36,7.4999999999999997E-2,31.282293319702099,1.7197370529174801E-2,10536.5858154297,29.1063842773438,4.499999999999999820,304.432293319702099,0.0000105365858154297
37,8.3333333333333329E-2,31.298189163208001,1.8797397613525401E-2,10536.3506469727,29.3884887695313,4.999999999999999740,304.448189163208001,0.0000105363506469727
38,9.166666666666666E-2,31.310419082641602,2.0718455314636199E-2,10536.1248779297,29.322509765625,5.49999999999999960,304.460419082641602,0.0000105361248779297
39,0.1,31.3250923156738,2.29728221893311E-2,10535.8650512695,29.4260864257813,6.0,304.4750923156738,0.0000105358650512695
40,0.10833333333333334,31.339767456054702,2.5566935539245599E-2,10535.633605957,29.6458740234375,6.50000000000000040,304.489767456054702,0.000010535633605957
41,0.11666666666666667,31.3532199859619,2.8509616851806599E-2,10535.4268798828,29.5281372070313,7.00000000000000020,304.5032199859619,0.0000105354268798828
42,0.125,31.367893218994102,3.2253146171569803E-2,10535.123413085899,29.31494140625,7.500,304.517893218994102,0.000010535123413085899
43,0.13333333333333333,31.3874607086182,3.6527633666992201E-2,10534.844543457,29.1524047851563,7.99999999999999980,304.5374607086182,0.000010534844543457
44,0.14166666666666666,31.405803680419901,4.1258573532104499E-2,10534.609375,29.0751953125,8.49999999999999960,304.555803680419901,0.000010534609375
45,0.15,31.427814483642599,4.6580433845519999E-2,10534.3475952148,28.973388671875,9.00,304.577814483642599,0.0000105343475952148
