scenario_id,tau,xi,u,v,f
base,0.0,0.03333333333333333,1.0,0.0,1.0
base,0.0,0.1,1.0,0.0,1.0
base,0.0,0.16666666666666666,1.0,0.0,1.0
base,0.0,0.23333333333333334,1.0,0.0,1.0
base,0.0,0.3,1.0,0.0,1.0
base,0.0,0.36666666666666664,1.0,0.0,1.0
base,0.0,0.43333333333333335,1.0,0.0,1.0
base,0.0,0.5,1.0,0.0,1.0
base,0.0,0.5666666666666667,1.0,0.0,1.0
base,0.0,0.6333333333333333,1.0,0.0,1.0
base,0.0,0.7,1.0,0.0,1.0
base,0.0,0.7666666666666667,1.0,0.0,1.0
base,0.0,0.8333333333333334,1.0,0.0,1.0
base,0.0,0.9,1.0,0.0,1.0
base,0.0,0.9666666666666667,1.0,0.0,1.0
base,0.1,0.03333333333333333,0.8264564148248852,0.17354358517511437,0.9131031336243652
base,0.1,0.1,0.8265107244674159,0.17348927553258386,0.913102118468148
base,0.1,0.16666666666666666,0.8266278589126579,0.17337214108734178,0.9130998595193088
base,0.1,0.23333333333333334,0.8268255487010312,0.1731744512989686,0.913095863097503
base,0.1,0.3,0.827132127403996,0.1728678725960039,0.9130892945300746
base,0.1,0.36666666666666664,0.8275885779404443,0.17241142205955562,0.913078856425225
base,0.1,0.43333333333333335,0.8282511871918598,0.17174881280814014,0.9130626118971408
base,0.1,0.5,0.8291947302690141,0.1708052697309858,0.9130377405835817
base,0.1,0.5666666666666667,0.8305160715838042,0.16948392841619572,0.9130002126517403
base,0.1,0.6333333333333333,0.8323380324593325,0.16766196754066753,0.9129443637272698
base,0.1,0.7,0.834813338762838,0.16518666123716208,0.9128623519737145
base,0.1,0.7666666666666667,0.8381284324514746,0.1618715675485255,0.9127434775880097
base,0.1,0.8333333333333334,0.842506913610865,0.15749308638913506,0.9125733449692023
base,0.1,0.9,0.84821237926147,0.15178762073853025,0.9123328489780655
base,0.1,0.9666666666666667,0.8555504445232386,0.14444955547676158,0.911996969259715
base,0.2,0.03333333333333333,0.6970991443136696,0.3029008556863305,0.8464040049840964
base,0.2,0.1,0.6974257709980088,0.30257422900199116,0.8463878627815138
base,0.2,0.16666666666666666,0.6980954402236367,0.3019045597763632,0.8463542292293034
base,0.2,0.23333333333333334,0.6991412241005661,0.3008587758994338,0.8463003345463864
base,0.2,0.3,0.7006133199070425,0.29938668009295755,0.8462218440236235
base,0.2,0.36666666666666664,0.7025797242274741,0.29742027577252583,0.8461126383441923
base,0.2,0.43333333333333335,0.7051270784947152,0.2948729215052846,0.8459645148071394
base,0.2,0.5,0.7083616428940991,0.2916383571059009,0.8457668048061612
base,0.2,0.5666666666666667,0.7124103480001569,0.2875896519998431,0.8455059022547469
base,0.2,0.6333333333333333,0.717421867822764,0.28257813217723615,0.8451646973580875
base,0.2,0.7,0.7235676542783532,0.276432345721647,0.844721910326933
base,0.2,0.7666666666666667,0.7310428714803312,0.268957128519669,0.8441513204526805
base,0.2,0.8333333333333334,0.7400671684947142,0.25993283150528596,0.8434208875981342
base,0.2,0.9,0.7508852310207075,0.24911476897929258,0.8424917658352791
base,0.2,0.9666666666666667,0.763767055246845,0.2362329447531551,0.8413172129681881
base,0.30000000000000004,0.03333333333333333,0.6019041038340426,0.3980958961659573,0.7933716119826781
base,0.30000000000000004,0.1,0.6025386865465836,0.3974613134534162,0.793318155101342
base,0.30000000000000004,0.16666666666666666,0.6038248591872204,0.3961751408127795,0.7932086380911652
base,0.30000000000000004,0.23333333333333334,0.6057967052752731,0.3942032947247268,0.7930377788868227
base,0.30000000000000004,0.3,0.6085055186280057,0.39149448137199416,0.7927974651531918
base,0.30000000000000004,0.36666666666666664,0.61201999398964,0.3879800060103599,0.7924765263986882
base,0.30000000000000004,0.43333333333333335,0.6164264621105946,0.3835735378894054,0.7920604290032143
base,0.30000000000000004,0.5,0.6218291534141606,0.3781708465858393,0.7915308936397694
base,0.30000000000000004,0.5666666666666667,0.6283504709725412,0.37164952902745874,0.7908654350236619
base,0.30000000000000004,0.6333333333333333,0.6361312503489749,0.3638687496510251,0.7900368248201062
base,0.30000000000000004,0.7,0.6453309808859824,0.35466901911401755,0.7890124800212683
