scenario_id,tau,u_core,u_surface,carbon_mean,carbon_max,co2_body,co2_generated,co2_net_out,u_res,v_res
base,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,
base,0.1,0.8264564148248852,0.8602101076031341,0.9128748698195376,0.9131031336243652,0.16662314784237814,0.17425026036092506,0.007627112518546904,,
base,0.2,0.6970991443136696,0.7713874728195274,0.8450857286877643,0.8464040049840964,0.28349296389979445,0.3098285426244717,0.026335578724677195,,
base,0.30000000000000004,0.6019041038340426,0.7098397109710344,0.7901405580276967,0.7933716119826781,0.36726704685879075,0.419718883944607,0.05245183708581614,,
base,0.4,0.5320274010675312,0.6659076464840591,0.7440868493691428,0.7497762528566942,0.4280414286326799,0.5118263012617148,0.08378487262903475,,
base,0.5,0.480715808114145,0.6342185660059962,0.7043917294021884,0.712849086457503,0.47235215502752037,0.5912165411956227,0.11886438616810255,,
base,0.6000000000000001,0.44311582150920736,0.61138361212141,0.6693689087015761,0.6807371742930918,0.5046149075875506,0.6612621825968488,0.15664727500929732,,
base,0.7000000000000001,0.4157637533030827,0.5951100799311742,0.6378621708168063,0.6521705754920386,0.5279059133072006,0.7242756583663885,0.19636974505918692,,
base,0.8,0.39616584582673986,0.5837827514922037,0.6090601341633447,0.626260168783966,0.5444188108561271,0.7818797316733118,0.23746092081718356,,
base,0.9,0.38250386747140336,0.5762341472784291,0.5823827395999924,0.6023723032847358,0.5557469099264734,0.8352345208000163,0.2794876108735417,,
base,1.0,0.3734354230862238,0.5716050548832342,0.5574090343844135,0.5800489065707968,0.563064889616134,0.8851819312311746,0.3221170416150392,,
base,1.1,0.36795815137538374,0.5692543370105431,0.5338297780743552,0.5589551393878213,0.5672495949318586,0.932340443851291,0.3650908489194311,,
base,1.2000000000000002,0.3653160988951313,0.5686981837677793,0.5114155168755156,0.538844221540782,0.5689624667461162,0.9771689662489702,0.40820649950285265,,
base,1.3,0.36493411952511534,0.5695680240124102,0.48999459849242705,0.5195332629023282,0.5687070160755093,1.0200108030151462,0.4513037869396366,,
base,1.4000000000000001,0.3663711869934786,0.5715807396660199,0.46943774574732994,0.5008863302082964,0.5668696280405882,1.0611245085053411,0.4942548804647521,,
base,1.5,0.3692866959084683,0.5745172283049761,0.4496470571121717,0.48280238111867635,0.5637489769116173,1.1007058857756578,0.5369569088640386,,
base,1.6,0.37341583379436916,0.578206757796651,0.43054805441262367,0.46520653873018436,0.5595775098097587,1.1389038911747535,0.5793263813649936,,
base,1.7000000000000002,0.3785513855067149,0.5825154126514337,0.412083863872913,0.4480436992674409,0.5545373153283605,1.1758322722541736,0.6212949569258133,,
base,1.8,0.38453016097000126,0.587337474945884,0.39421091285257714,0.4312737945326186,0.5487719600820689,1.211578174294845,0.6628062142127765,,
base,1.9000000000000001,0.39122278567810076,0.592588937256461,0.3768957173177009,0.4148682437119134,0.5423953940430738,1.2462085653645976,0.7038131713215248,,
base,2.0,0.39852596280450214,0.5982025819263839,0.3601124630703894,0.39880727005192584,0.5354987019230504,1.2797750738592204,0.7442763719361716,,
base,2.1,0.40635656883121773,0.6041242223785158,0.3438411703462805,0.3830778529226822,0.5281552566918283,1.3123176593074395,0.784162402615612,,
base,2.2,0.4146471206497726,0.6103098140294574,0.32806629094188583,0.3676721509383545,0.5204246777170254,1.3438674181162278,0.8234427403992045,,
base,2.3000000000000003,0.4233422762478691,0.6167232210272626,0.31277562859630453,0.3525862771803869,0.5123558877979829,1.3744487428073904,0.8620928550094102,,
base,2.4000000000000004,0.4323961197377887,0.6233344810960812,0.2979595027395035,0.33781933960273625,0.5039894861724888,1.4040809945209936,0.9000915083485068,,
base,2.5,0.4417700454560506,0.6301184511848881,0.28361009673997345,0.3233726825957866,0.4953595988908276,1.4327798065200548,0.9374202076292281,,
base,2.6,0.4514311024781502,0.6370537460493764,0.2697209469753618,0.3092492822312385,0.4864953273879272,1.460558106049278,0.9740627786613516,,
base,2.7,0.4613506951469244,0.6441219035237411,0.25628654012769947,0.2954532597837558,0.4774218862773371,1.4874269197446024,1.0100050334672668,,
base,2.8000000000000003,0.47150356057451226,0.6513067262584976,0.2433019942486769,0.28198948701170257,0.4681614993192739,1.5133960115026457,1.0452345121833762,,
base,2.9000000000000004,0.4818669629789176,0.6585937616491832,0.23076280516947648,0.2688632632697634,0.4587341060607644,1.5384743896610473,1.079740283600286,,
base,3.0,0.49242005888350976,0.6659698906479551,0.2186646443202604,0.2560800494455725,0.4491579193067833,1.5626707113594795,1.1135127920526995,,
base,3.1,0.5031433978792956,0.6734230029154763,0.20700319738619447,0.24364524740386834,0.43944986428093197,1.5859936052276105,1.146543740946682,,
base,3.2,0.5140185317210061,0.6809417408977443,0.19577403575377575,0.2315640164025311,0.42962592329428567,1.60845192849245,1.1788260051981658,,
base,3.3000000000000003,0.5250277106524084,0.6885152993126381,0.18497251460601977,0.21984112004457096,0.4197014043937544,1.6300549707879615,1.210353566394209,,
base,3.4000000000000004,0.5361536505142493,0.6961332695060958,0.17459369296304372,0.20848079891596072,0.4096911483892652,1.650812614073913,1.2411214656846496,,
base,3.5,0.5473793577359076,0.7037855204117963,0.16463227204999184,0.19748666525412734,0.3996096855530157,1.6707354559000152,1.271125770347003,,
base,3.6,0.5586880020148237,0.7114621095879748,0.1550825491917861,0.18686161688715872,0.3894713509132254,1.6898349016164262,1.3003635507032039,,
base,3.7,0.5700628285459235,0.7191532191360891,0.14593838504715256,0.1766077683476602,0.37929036525577264,1.7081232299056928,1.3288328646499248,,
base,3.8000000000000003,0.5814871032277834,0.7268491123234733,0.1371931824504822,0.16672639754944477,0.36908088756850244,1.725613635099034,1.356532747530535,,
base,3.9000000000000004,0.5929440854587544,0.7345401075083398,0.12883987546565953,0.15721790675950342,0.3588570436146387,1.7423202490686802,1.3834632054540437,,
base,4.0,0.6044170240334839,0.742216566556217,0.12087092749892912,0.1480817968328228,0.3486329345265704,1.7582581450021402,1.409625210475573,,
base,4.1000000000000005,0.6158891723271673,0.7498688953852671,0.1132783374898876,0.13931665382797018,0.33842262870961404,1.773443325020224,1.435020696310612,,
base,4.2,0.6273438194651934,0.7574875546176245,0.10605365331784004,0.1309201472065628,0.328240139890567,1.7878926933643196,1.4596525534737537,,
base,4.3,0.6387643345620195,0.7650630785713682,0.09918799163862638,0.1228890388558039,0.31809939380130614,1.8016240167227462,1.4835246229214425,,
base,4.4,0.6501342214084576,0.7725861010239774,0.0926720634155196,0.11521920217355136,0.3080141857244113,1.81465587316896,1.5066416874445498,,
base,4.5,0.6614371812175777,0.7800473863297106,0.08649620443575289,0.10790565043105867,0.29799813092285227,1.8270075911284929,1.5290094602056419,,
base,4.6000000000000005,0.6726571812269855,0.7874378645935385,0.08065041011883903,0.10094257358908774,0.288064609811033,1.8386991797623198,1.5506345699512885,,
base,4.7,0.6837785271156042,0.7947486697034869,0.0751243739299333,0.09432338269654206,0.27822670958568213,1.849751252140131,1.5715245425544508,,
base,4.800000000000001,0.6947859373388457,0.8019711791096916,0.06990752871573928,0.08804076095379638,0.2684971639111551,1.8601849425685186,1.5916877786573647,,
