time_s,cell,temperature_k,pressure_pa,moisture_kg_water_per_kg_dry,conductivity_w_m_k,condensed_water_mol,vapor_water_mol,total_internal_energy_j
0.0,0,330.0,99517.361287996,0.36030535999999996,0.0566285154354,0.2,1e-06,-55944.998792465
0.0,1,333.0,100807.20137263581,0.40534352999999995,0.057088017364825,0.225,1e-06,-62997.405503907714
0.025,0,329.99997025728226,99530.542647172,0.36030531083791123,0.05662851493382379,0.19999997271087575,1.0275417760934813e-06,-55944.998637024626
0.025,1,332.99995109438896,100821.42036342798,0.40534346972061464,0.05708801674982457,0.22499996653983426,1.0332075139263512e-06,-62997.405659348085
0.05,0,329.99994003772736,99543.7163204639,0.3603052617295638,0.05662851443279587,0.19999994545158242,1.0550784227364265e-06,-55944.99848754319
0.05,1,332.9999022781849,100835.61509576777,0.4053434095117598,0.05708801613554373,0.2249999331188189,1.0663511759556504e-06,-62997.40580882952
