         687043 function calls (676061 primitive calls) in 0.374 seconds

   Ordered by: cumulative time
   List reduced from 212 to 18 due to restriction <18>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.003    0.001    0.355    0.059 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/rigid_reactive_open_column.py:95(observe)
      768    0.002    0.000    0.294    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/rigid_reactive_offset.py:45(offset_inventory_state)
     6330    0.025    0.000    0.271    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/rigid_reactive_offset.py:14(at_carbon_offset)
 2097/847    0.003    0.000    0.268    0.000 /Users/wanggaoying/Desktop/brickmodel-github/.venv/lib/python3.12/site-packages/scipy/optimize/_zeros_py.py:724(brentq)
 2097/847    0.005    0.000    0.267    0.000 {built-in method scipy.optimize._zeros._brentq}
14529/6047    0.020    0.000    0.264    0.000 /Users/wanggaoying/Desktop/brickmodel-github/.venv/lib/python3.12/site-packages/scipy/optimize/_zeros_py.py:106(f_raise)
     5562    0.006    0.000    0.253    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/rigid_reactive_offset.py:47(<lambda>)
     6330    0.053    0.000    0.123    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/equilibrium_calcite_rigid.py:58(inventory_partition)
    12660    0.045    0.000    0.120    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/recorded_reaction_affinity.py:42(standard)
    87144    0.033    0.000    0.056    0.000 {built-in method math.fsum}
    14136    0.030    0.000    0.038    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/recorded_reaction_affinity.py:20(standard)
        6    0.000    0.000    0.036    0.006 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/rigid_reactive_surface.py:63(solve)
        6    0.000    0.000    0.033    0.005 /Users/wanggaoying/Desktop/brickmodel-github/.venv/lib/python3.12/site-packages/scipy/_lib/_util.py:650(inner)
        6    0.000    0.000    0.033    0.005 /Users/wanggaoying/Desktop/brickmodel-github/.venv/lib/python3.12/site-packages/scipy/optimize/_lsq/least_squares.py:266(least_squares)
        6    0.000    0.000    0.028    0.005 /Users/wanggaoying/Desktop/brickmodel-github/.venv/lib/python3.12/site-packages/scipy/optimize/_lsq/trf.py:113(trf)
        6    0.001    0.000    0.028    0.005 /Users/wanggaoying/Desktop/brickmodel-github/.venv/lib/python3.12/site-packages/scipy/optimize/_lsq/trf.py:206(trf_bounds)
    21094    0.016    0.000    0.026    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/rigid_reactive_offset.py:22(score)
   202560    0.023    0.000    0.023    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/recorded_reaction_affinity.py:44(<genexpr>)
