         943097 function calls (932061 primitive calls) in 0.489 seconds

   Ordered by: cumulative time
   List reduced from 216 to 18 due to restriction <18>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.003    0.001    0.453    0.075 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/rigid_reactive_open_column.py:95(observe)
      768    0.002    0.000    0.415    0.001 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/rigid_reactive_offset.py:45(offset_inventory_state)
     6330    0.022    0.000    0.392    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/rigid_reactive_offset.py:14(at_carbon_offset)
 2097/847    0.005    0.000    0.375    0.000 /Users/wanggaoying/Desktop/brickmodel-github/.venv/lib/python3.12/site-packages/scipy/optimize/_zeros_py.py:724(brentq)
 2097/847    0.008    0.000    0.372    0.000 {built-in method scipy.optimize._zeros._brentq}
14529/6047    0.026    0.000    0.369    0.000 /Users/wanggaoying/Desktop/brickmodel-github/.venv/lib/python3.12/site-packages/scipy/optimize/_zeros_py.py:106(f_raise)
     5562    0.006    0.000    0.356    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/rigid_reactive_offset.py:47(<lambda>)
    12660    0.065    0.000    0.234    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/recorded_reaction_affinity.py:42(standard)
     6330    0.043    0.000    0.203    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/equilibrium_calcite_rigid.py:58(inventory_partition)
    50706    0.108    0.000    0.138    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/recorded_reaction_affinity.py:20(standard)
    87144    0.039    0.000    0.067    0.000 {built-in method math.fsum}
    21094    0.018    0.000    0.029    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/rigid_reactive_offset.py:22(score)
   202560    0.028    0.000    0.028    0.000 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/recorded_reaction_affinity.py:44(<genexpr>)
      768    0.011    0.000    0.023    0.000 /Users/wanggaoying/Desktop/brickmodel-github/examples/sandbox/calcite_rigid_source_review.py:6(source_cell_errors)
   257034    0.022    0.000    0.022    0.000 {built-in method math.sqrt}
        6    0.000    0.000    0.021    0.003 /Users/wanggaoying/Desktop/brickmodel-github/src/sludge_sandbox/rigid_reactive_surface.py:63(solve)
        6    0.000    0.000    0.019    0.003 /Users/wanggaoying/Desktop/brickmodel-github/.venv/lib/python3.12/site-packages/scipy/_lib/_util.py:650(inner)
        6    0.000    0.000    0.019    0.003 /Users/wanggaoying/Desktop/brickmodel-github/.venv/lib/python3.12/site-packages/scipy/optimize/_lsq/least_squares.py:266(least_squares)
